Function Name,Self (ms),Duration (ms),Location
forwardRef,3.260,3.260,../../packages/ui/src/avatar.tsx:12:49
Identifier: any,3.250,3.250,src/components/discussion/discussion.tsx:297:13
updateMany,3.221,3.221,src/auth/helpers/merge-user.ts:34:12
object,3.207,11.365,src/components/new-participant-modal.tsx:27:38
CredentialsProvider,3.204,9.255,src/auth/providers/registration-token.ts:9:41
create,3.177,3.177,src/auth/adapters/prisma.ts:24:36
generateGradient,3.172,3.172,src/components/random-gradient-bar.tsx:4:11
useQuery,3.166,3.166,src/app/[locale]/(auth)/auth/login/components/login-page.tsx:50:8
Identifier: ReactNode,3.156,3.156,src/app/[locale]/(admin)/events/layout.tsx:2:9
router,3.137,20.629,src/trpc/routers/scheduled-events.ts:14:31
createPortal,3.097,3.097,src/components/cookie-consent.tsx:18:23
map,3.096,3.096,src/components/participant-avatar-bar.tsx:47:49
"Identifier: { ""12h"": string; ""24h"": s",3.094,5.329,declarations/i18next.d.ts:12:18
withPosthog,3.090,3.422,src/app/api/stripe/webhook/route.ts:10:33
getEmailClient,3.073,3.073,src/trpc/routers/polls.ts:740:47
Identifier: <TFieldValues extends Fie,3.071,3.071,../../packages/ui/src/form.tsx:31:7
